Size,Algorithm,Success Rate (%),Avg Time (s),Std Time (s),Avg Steps,Std Steps
4,Simulated Annealing,100.0,6.664594014485678e-05,0.0003588993714064753,0.0,0.0
4,Hill Climbing,100.0,0.0,0.0,1.0,0.0
8,Simulated Annealing,100.0,0.00013335545857747397,0.0007181411223706964,0.0,0.0
8,Hill Climbing,0.0,0.0003667593002319336,0.0005468494264413755,1.1,0.5385164807134503
10,Simulated Annealing,100.0,0.00030008157094319664,0.0016159887151129392,0.0,0.0
10,Hill Climbing,0.0,0.000866842269897461,0.0005618725202935835,1.1,0.5385164807134503
